"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.00014820622
0,6,0.0010643151
0,9,0.0032019878
0,12,0.0067933714
0,15,0.011933168
0,18,0.018640568
0,21,0.02689694
0,24,0.036666933
0,27,0.047909327
0,30,0.06058201
0,33,0.07464437
0,36,0.090058096
0,39,0.10678735
0,42,0.1247986
0,45,0.14406036
0,48,0.16454275
0,51,0.18621734
0,54,0.20905681
0,57,0.23303483
0,60,0.25812596
0,63,0.2843054
0,66,0.31154904
0,69,0.33983338
0,72,0.36913544
0,75,0.39943275
0,78,0.4307031
0,81,0.46292487
0,84,0.49607658
0,87,0.53013724
0,90,0.5650861
0,93,0.60090286
0,96,0.6375674
0,99,0.6750601
0,102,0.71336156
0,105,0.7524527
0,108,0.79231477
0,111,0.8329289
0,114,0.8742772
0,117,0.91634166
0,120,0.959105
0,135,1.1828038
0,150,1.4214841
0,165,1.6732424
0,180,1.9363272
0,195,2.2091312
0,210,2.490161
0,225,2.762954
0,240,3.0041013
0,255,3.2154515
0,270,3.400082
0,285,3.5603495
0,300,3.6982617
0,315,3.8156617
0,330,3.9142554
0,345,3.995632
0,360,4.061274
0,375,4.11256
0,390,4.1507664
0,405,4.177077
0,420,4.192585
0,435,4.198303
0,450,4.1951675
0,465,4.18404
0,480,4.165717
0,495,4.140933
0,510,4.1103635
0,525,4.074634
0,540,4.0343122
0,555,3.989931
0,570,3.9419637
0,585,3.890858
0,600,3.8370154
0,615,3.7808082
0,630,3.7225795
0,645,3.6626408
0,660,3.6012793
0,675,3.5387568
0,690,3.47531
0,705,3.4111562
0,720,3.3464909
0,735,3.293411
0,750,3.2769117
0,765,3.295211
0,780,3.344214
0,795,3.4207013
0,810,3.5218809
0,825,3.64522
0,840,3.788379
0,855,3.9491918
0,870,4.125659
0,885,4.315938
0,900,4.5183306
0,915,4.731273
0,930,4.9533105
0,945,5.16802
0,960,5.352008
0,975,5.5071445
0,990,5.6365294
0,1005,5.742532
0,1020,5.8271704
0,1035,5.8922944
0,1050,5.939618
0,1065,5.970733
0,1080,5.9871216
0,1095,5.9901595
0,1110,5.9811215
0,1125,5.961187
0,1140,5.9314485
0,1155,5.8929067
0,1170,5.846495
0,1185,5.793057
0,1200,5.7333827
0,1215,5.66819
0,1230,5.598141
0,1245,5.523851
0,1260,5.4458704
0,1275,5.36472
0,1290,5.2808614
0,1305,5.1947293
0,1320,5.106712
0,1335,5.017168
0,1350,4.926424
0,1365,4.8347745
0,1380,4.742492
0,1395,4.649818
0,1410,4.556977
0,1425,4.4641666
0,1440,4.371571
0,1455,4.291285
0,1470,4.2482424
0,1485,4.2406983
0,1500,4.264528
0,1515,4.316493
0,1530,4.3938046
0,1545,4.493886
0,1560,4.6143904
0,1575,4.7531557
0,1590,4.9081626
0,1605,5.077546
0,1620,5.259596
0,1635,5.4527373
0,1650,5.6555047
0,1665,5.851476
0,1680,6.017192
0,1695,6.1545515
0,1710,6.266647
0,1725,6.3558292
0,1740,6.424078
0,1755,6.4732523
0,1770,6.5050626
0,1785,6.5210786
0,1800,6.5227647
0,1815,6.511492
0,1830,6.4885287
0,1845,6.4550443
0,1860,6.4121146
0,1875,6.360734
0,1890,6.3018217
0,1905,6.2362247
0,1920,6.164719
0,1935,6.0880175
0,1950,6.006775
0,1965,5.9215865
0,1980,5.8330092
0,1995,5.741539
0,2010,5.647643
0,2025,5.551739
0,2040,5.4542155
0,2055,5.355421
0,2070,5.255674
0,2085,5.1552677
0,2100,5.0544615
0,2115,4.9534965
0,2130,4.8525853
0,2145,4.751925
0,2160,4.651692
0,2175,4.5639677
0,2190,4.513697
0,2205,4.4991164
0,2220,4.5161023
0,2235,4.5614095
0,2250,4.6322327
0,2265,4.726014
0,2280,4.8403955
0,2295,4.973198
0,2310,5.122402
0,2325,5.2861447
0,2340,5.462708
0,2355,5.6505103
0,2370,5.8480825
0,2385,6.039003
0,2400,6.199804
0,2415,6.332382
0,2430,6.439826
0,2445,6.5244837
0,2460,6.5883284
0,2475,6.633217
0,2490,6.660858
0,2505,6.6728134
0,2520,6.6705475
0,2535,6.655436
0,2550,6.6287365
0,2565,6.591606
0,2580,6.54512
0,2595,6.4902754
0,2610,6.4279923
0,2625,6.359092
0,2640,6.2843437
0,2655,6.2044826
0,2670,6.1201434
0,2685,6.031987
0,2700,5.940521
0,2715,5.8462815
0,2730,5.7497063
0,2745,5.651204
0,2760,5.551165
0,2775,5.449911
0,2790,5.347777
0,2805,5.2450314
0,2820,5.1419506
0,2835,5.0387626
0,2850,4.9356894
0,2865,4.8329206
0,2880,4.730634
0,2895,4.6409097
0,2910,4.588692
0,2925,4.5722156
0,2940,4.587355
0,2955,4.6308656
0,2970,4.6999393
0,2985,4.792017
0,3000,4.9047403
0,3015,5.035928
0,3030,5.1835604
0,3045,5.3457727
0,3060,5.520846
0,3075,5.7071986
0,3090,5.903359
0,3105,6.0929046
0,3120,6.252367
0,3135,6.383642
0,3150,6.4898167
0,3165,6.573239
0,3180,6.63588
0,3195,6.6795955
0,3210,6.7060947
0,3225,6.716938
0,3240,6.713589
0,3255,6.697422
0,3270,6.669695
0,3285,6.631569
0,3300,6.5841217
0,3315,6.5283465
0,3330,6.4651594
0,3345,6.3953967
0,3360,6.319832
0,3375,6.2391744
0,3390,6.154075
0,3405,6.065135
0,3420,5.972902
0,3435,5.877879
0,3450,5.7805243
0,3465,5.681257
0,3480,5.580458
0,3495,5.478475
0,3510,5.375624
0,3525,5.2721934
0,3540,5.168443
0,3555,5.0646086
0,3570,4.960907
0,3585,4.8575263
0,3600,4.754643
0,3615,4.664348
0,3630,4.6115746
0,3645,4.594556
0,3660,4.609168
0,3675,4.652164
0,3690,4.7207365
0,3705,4.812326
0,3720,4.9245734
0,3735,5.0552974
0,3750,5.2024784
0,3765,5.36425
0,3780,5.538895
0,3795,5.7248297
0,3810,5.920583
0,3825,6.1097317
0,3840,6.268807
0,3855,6.399705
0,3870,6.5055118
0,3885,6.5885754
0,3900,6.650867
0,3915,6.6942415
0,3930,6.720409
0,3945,6.730928
0,3960,6.7272625
0,3975,6.7107873
0,3990,6.6827593
0,4005,6.64434
0,4020,6.5966067
0,4035,6.5405526
0,4050,6.477093
0,4065,6.407065
0,4080,6.3312407
0,4095,6.25033
0,4110,6.164984
0,4125,6.075803
0,4140,5.983335
0,4155,5.8880825
0,4170,5.790504
0,4185,5.6910176
0,4200,5.5900054
0,4215,5.4878144
0,4230,5.3847604
0,4245,5.2811313
0,4260,5.177187
0,4275,5.0731635
0,4290,4.9692774
0,4305,4.8657165
0,4320,4.7626576
0,4335,4.6721907
0,4350,4.6192493
0,4365,4.6020665
0,4380,4.6165185
0,4395,4.6593585
0,4410,4.7277784
0,4425,4.819219
0,4440,4.931321
0,4455,5.0619035
0,4470,5.2089458
0,4485,5.370582
0,4500,5.5450945
0,4515,5.7309003
0,4530,5.9265275
0,4545,6.1155534
0,4560,6.2745085
0,4575,6.405289
0,4590,6.510981
0,4605,6.593932
0,4620,6.656114
0,4635,6.699382
0,4650,6.7254443
0,4665,6.7358613
0,4680,6.732096
0,4695,6.7155232
0,4710,6.6873994
0,4725,6.6488867
0,4740,6.6010623
0,4755,6.5449185
0,4770,6.481372
0,4785,6.411258
0,4800,6.335351
0,4815,6.254359
0,4830,6.1689334
0,4845,6.079674
0,4860,5.987129
0,4875,5.8918023
0,4890,5.7941504
0,4905,5.694593
0,4920,5.5935106
0,4935,5.491251
0,4950,5.38813
0,4965,5.2844357
0,4980,5.1804276
0,4995,5.076341
0,5010,4.9723935
0,5025,4.8687725
0,5040,4.765655
0,5055,4.6751304
0,5070,4.6221333
0,5085,4.6048956
0,5100,4.619293
0,5115,4.6620803
0,5130,4.7304487
0,5145,4.8218393
0,5160,4.933892
0,5175,5.0644255
0,5190,5.2114205
0,5205,5.3730106
0,5220,5.5474777
0,5235,5.733239
0,5250,5.928823
0,5265,6.117806
0,5280,6.2767196
0,5295,6.4074593
0,5310,6.513111
0,5325,6.5960236
0,5340,6.6581674
0,5355,6.7013974
0,5370,6.7274227
0,5385,6.737804
0,5400,6.7340035
0,5415,6.717396
0,5430,6.689238
0,5445,6.6506925
0,5460,6.602835
0,5475,6.54666
0,5490,6.483082
0,5505,6.4129376
0,5520,6.3370004
0,5535,6.2559786
0,5550,6.170524
0,5565,6.0812364
0,5580,5.988664
0,5595,5.89331
0,5610,5.7956314
0,5625,5.696048
0,5640,5.59494
0,5655,5.4926553
0,5670,5.3895097
0,5685,5.2857914
0,5700,5.1817594
0,5715,5.07765
0,5730,4.9736795
0,5745,4.870036
0,5760,4.7668967
0,5775,4.6763506
0,5790,4.623332
0,5805,4.6060734
0,5820,4.6204515
0,5835,4.6632185
0,5850,4.7315674
0,5865,4.8229384
0,5880,4.9349723
0,5895,5.0654874
0,5910,5.2124643
0,5925,5.374037
0,5940,5.548486
0,5955,5.7342305
0,5970,5.9297976
0,5985,6.1187644
0,6000,6.277662
0,6015,6.4083858
0,6030,6.5140224
0,6045,6.596919
0,6060,6.659048
0,6075,6.7022634
0,6090,6.728275
0,6105,6.7386417
0,6120,6.734827
0,6135,6.718206
0,6150,6.690035
0,6165,6.651476
0,6180,6.6036057
0,6195,6.5474176
0,6210,6.483827
0,6225,6.413671
0,6240,6.3377213
0,6255,6.256688
0,6270,6.171222
0,6285,6.081923
0,6300,5.9893394
0,6315,5.8939743
0,6330,5.7962847
0,6345,5.6966906
0,6360,5.5955725
0,6375,5.4932775
0,6390,5.390122
0,6405,5.286393
0,6420,5.1823516
0,6435,5.078233
0,6450,4.9742527
0,6465,4.8706
0,6480,4.767452
0,6495,4.6649623
0,6510,4.5632696
0,6525,4.462499
0,6540,4.362759
0,6555,4.2641478
0,6570,4.1667504
0,6585,4.070641
0,6600,3.9758854
0,6615,3.882539
0,6630,3.7906497
0,6645,3.7002583
0,6660,3.6113968
0,6675,3.5240939
0,6690,3.4383702
0,6705,3.3542416
0,6720,3.2717206
0,6735,3.1908128
0,6750,3.1115224
0,6765,3.033849
0,6780,2.9577887
0,6795,2.8833354
0,6810,2.8104799
0,6825,2.739211
0,6840,2.6695158
0,6855,2.6013784
0,6870,2.534783
0,6885,2.4697104
0,6900,2.4061418
0,6915,2.3440566
0,6930,2.283433
0,6945,2.224249
0,6960,2.1664813
0,6975,2.1101062
0,6990,2.0551002
0,7005,2.0014384
0,7020,1.949096
0,7035,1.8980483
0,7050,1.8482699
0,7065,1.799736
0,7080,1.7524211
0,7095,1.7063001
0,7110,1.6613479
0,7125,1.6175394
0,7140,1.57485
0,7155,1.5332549
0,7170,1.4927295
0,7185,1.4532499
0,7200,1.4147922
1,0,0
1,3,0.00015194043
1,6,0.0011595944
1,9,0.0035951212
1,12,0.007780046
1,15,0.013865862
1,18,0.0219027
1,21,0.031885214
1,24,0.04378028
1,27,0.057542432
1,30,0.073121846
1,33,0.09046839
1,36,0.109533496
1,39,0.13027097
1,42,0.15263705
1,45,0.17659016
1,48,0.20209086
1,51,0.22910146
1,54,0.2575857
1,57,0.2875086
1,60,0.3188362
1,63,0.3515356
1,66,0.3855748
1,69,0.4209224
1,72,0.45754808
1,75,0.4954218
1,78,0.53451437
1,81,0.574797
1,84,0.61624116
1,87,0.65881926
1,90,0.70250386
1,93,0.7472681
1,96,0.79308563
1,99,0.8399305
1,102,0.8877772
1,105,0.93660074
1,108,0.9863759
1,111,1.0370787
1,114,1.0886855
1,117,1.1411731
1,120,1.1945186
1,135,1.473323
1,150,1.770321
1,165,2.0830388
1,180,2.409208
1,195,2.7467556
1,210,3.0937686
1,225,3.4308581
1,240,3.7277436
1,255,3.9857757
1,270,4.208973
1,285,4.4005017
1,300,4.5631065
1,315,4.6992726
1,330,4.8112974
1,345,4.9013186
1,360,4.9713187
1,375,5.0231314
1,390,5.0584526
1,405,5.07885
1,420,5.085771
1,435,5.080551
1,450,5.0644245
1,465,5.038519
1,480,5.003876
1,495,4.961453
1,510,4.912121
1,525,4.8566923
1,540,4.7959
1,555,4.7304235
1,570,4.660885
1,585,4.5878468
1,600,4.511831
1,615,4.433306
1,630,4.3527036
1,645,4.270425
1,660,4.18682
1,675,4.102204
1,690,4.0168943
1,705,3.9311328
1,720,3.8451488
1,735,3.7730136
1,750,3.7464912
1,765,3.76456
1,780,3.8219607
1,795,3.9143963
1,810,4.03814
1,825,4.189824
1,840,4.366361
1,855,4.5648937
1,870,4.7827935
1,885,5.01765
1,900,5.267252
1,915,5.5295706
1,930,5.802729
1,945,6.0673747
1,960,6.2932234
1,975,6.481653
1,990,6.636695
1,1005,6.761523
1,1020,6.858869
1,1035,6.9312277
1,1050,6.9809003
1,1065,7.0100107
1,1080,7.020525
1,1095,7.0142684
1,1110,6.9929266
1,1125,6.958054
1,1140,6.9110813
1,1155,6.853323
1,1170,6.7859898
1,1185,6.7101936
1,1200,6.6269555
1,1215,6.53721
1,1230,6.441812
1,1245,6.3415475
1,1260,6.2371354
1,1275,6.129224
1,1290,6.0184135
1,1305,5.9052377
1,1320,5.790195
1,1335,5.6737266
1,1350,5.5562425
1,1365,5.4381084
1,1380,5.319657
1,1395,5.2011895
1,1410,5.082973
1,1425,4.965253
1,1440,4.8482404
1,1455,4.7459893
1,1470,4.690236
1,1485,4.679913
1,1500,4.709766
1,1515,4.775464
1,1530,4.873275
1,1545,4.9997964
1,1560,5.151895
1,1575,5.3267355
1,1590,5.5216713
1,1605,5.734235
1,1620,5.9622107
1,1635,6.2035704
1,1650,6.4564033
1,1665,6.701333
1,1680,6.9080586
1,1695,7.0779467
1,1710,7.2150073
1,1725,7.3224096
1,1740,7.4028406
1,1755,7.458796
1,1770,7.492571
1,1785,7.50626
1,1800,7.501815
1,1815,7.481053
1,1830,7.445649
1,1845,7.3971424
1,1860,7.336947
1,1875,7.266369
1,1890,7.186609
1,1905,7.0987663
1,1920,7.0038533
1,1935,6.902788
1,1950,6.796414
1,1965,6.6855083
1,1980,6.570768
1,1995,6.452842
1,2010,6.332316
1,2025,6.209722
1,2040,6.085548
1,2055,5.9602294
1,2070,5.8341656
1,2085,5.707717
1,2100,5.581205
1,2115,5.454923
1,2130,5.329135
1,2145,5.2040777
1,2160,5.0799513
1,2175,4.9708
1,2190,4.9083576
1,2205,4.8915505
1,2220,4.915119
1,2235,4.9747252
1,2250,5.066632
1,2265,5.187436
1,2280,5.333997
1,2295,5.50345
1,2310,5.69316
1,2325,5.9006834
1,2340,6.123776
1,2355,6.360386
1,2370,6.6086183
1,2385,6.8490996
1,2400,7.0515084
1,2415,7.2172103
1,2430,7.3502126
1,2445,7.453681
1,2460,7.5302978
1,2475,7.582554
1,2490,7.612742
1,2505,7.622954
1,2520,7.6151366
1,2535,7.591104
1,2550,7.552529
1,2565,7.500946
1,2580,7.4377685
1,2595,7.364297
1,2610,7.2817307
1,2625,7.191166
1,2640,7.0936136
1,2655,6.9899874
1,2670,6.8811307
1,2685,6.7678146
1,2700,6.650737
1,2715,6.5305448
1,2730,6.407819
1,2745,6.283091
1,2760,6.156847
1,2775,6.02952
1,2790,5.9015083
1,2805,5.7731686
1,2820,5.644822
1,2835,5.516761
1,2850,5.389245
1,2865,5.262512
1,2880,5.136761
1,2895,5.026032
1,2910,4.962058
1,2925,4.943766
1,2940,4.9658933
1,2955,5.024101
1,2970,5.1146502
1,2985,5.2341375
1,3000,5.3794208
1,3015,5.547635
1,3030,5.7361426
1,3045,5.942499
1,3060,6.164459
1,3075,6.39997
1,3090,6.647136
1,3105,6.886583
1,3120,7.087987
1,3135,7.2527137
1,3150,7.3847694
1,3165,7.487319
1,3180,7.563043
1,3195,7.614433
1,3210,7.6437798
1,3225,7.6531744
1,3240,7.6445637
1,3255,7.6197605
1,3270,7.580436
1,3285,7.5281262
1,3300,7.4642415
1,3315,7.3900833
1,3330,7.30685
1,3345,7.215637
1,3360,7.1174555
1,3375,7.013217
1,3390,6.9037657
1,3405,6.7898717
1,3420,6.6722326
1,3435,6.551494
1,3450,6.4282374
1,3465,6.3029943
1,3480,6.1762486
1,3495,6.0484343
1,3510,5.9199486
1,3525,5.791148
1,3540,5.6623535
1,3555,5.533857
1,3570,5.405917
1,3585,5.2787724
1,3600,5.152621
1,3615,5.041502
1,3630,4.9771495
1,3645,4.9584885
1,3660,4.9802575
1,3675,5.038117
1,3690,5.1283274
1,3705,5.247485
1,3720,5.3924475
1,3735,5.5603504
1,3750,5.7485547
1,3765,5.9546156
1,3780,6.176289
1,3795,6.411521
1,3810,6.6584153
1,3825,6.897598
1,3840,7.098745
1,3855,7.2632217
1,3870,7.395034
1,3885,7.497346
1,3900,7.5728393
1,3915,7.6240044
1,3930,7.653132
1,3945,7.662314
1,3960,7.653495
1,3975,7.6284895
1,3990,7.5889688
1,4005,7.5364666
1,4020,7.472395
1,4035,7.3980546
1,4050,7.3146434
1,4065,7.2232575
1,4080,7.124907
1,4095,7.0205045
1,4110,6.910893
1,4125,6.7968426
1,4140,6.679051
1,4155,6.558164
1,4170,6.434763
1,4185,6.309378
1,4200,6.182495
1,4215,6.0545464
1,4230,5.9259295
1,4245,5.7970014
1,4260,5.6680818
1,4275,5.5394635
1,4290,5.411405
1,4305,5.284145
1,4320,5.1578803
1,4335,5.0466514
1,4350,4.982191
1,4365,4.963425
1,4380,4.9850917
1,4395,5.042851
1,4410,5.1329637
1,4425,5.2520266
1,4440,5.3968964
1,4455,5.564708
1,4470,5.7528243
1,4485,5.958799
1,4500,6.180388
1,4515,6.4155374
1,4530,6.6623516
1,4545,6.901456
1,4560,7.102526
1,4575,7.2669277
1,4590,7.398667
1,4605,7.5009074
1,4620,7.576331
1,4635,7.627428
1,4650,7.6564894
1,4665,7.6656055
1,4680,7.6567235
1,4695,7.6316557
1,4710,7.592074
1,4725,7.539512
1,4740,7.4753823
1,4755,7.4009852
1,4770,7.317518
1,4785,7.226078
1,4800,7.127674
1,4815,7.023219
1,4830,6.9135566
1,4845,6.799456
1,4860,6.681616
1,4875,6.5606813
1,4890,6.4372334
1,4905,6.311803
1,4920,6.184875
1,4935,6.056882
1,4950,5.928222
1,4965,5.799252
1,4980,5.6702914
1,4995,5.5416327
1,5010,5.413535
1,5025,5.286236
1,5040,5.1599336
1,5055,5.0486674
1,5070,4.984171
1,5085,4.9653697
1,5100,4.987001
1,5115,5.0447264
1,5130,5.1348057
1,5145,5.2538357
1,5160,5.398673
1,5175,5.566454
1,5190,5.754539
1,5205,5.9604836
1,5220,6.182043
1,5235,6.417164
1,5250,6.6639495
1,5265,6.9030256
1,5280,7.1040688
1,5295,7.268444
1,5310,7.400157
1,5325,7.502372
1,5340,7.5777707
1,5355,7.628843
1,5370,7.65788
1,5385,7.6669726
1,5400,7.6580667
1,5415,7.6329765
1,5430,7.5933723
1,5445,7.5407887
1,5460,7.4766374
1,5475,7.402219
1,5490,7.3187313
