"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,33.25184
0,6,65.87129
0,9,92.87418
0,12,115.660904
0,15,135.81128
0,18,121.15786
0,21,106.20365
0,24,96.32863
0,27,90.362274
0,30,86.84245
0,33,84.73764
0,36,83.422615
0,39,82.54172
0,42,81.89632
0,45,81.379005
0,48,80.93077
0,51,80.5199
0,54,80.12895
0,57,79.74826
0,60,79.372955
0,63,79.00071
0,66,78.630066
0,69,78.260056
0,72,77.89019
0,75,77.52019
0,78,77.15016
0,81,76.780426
0,84,76.41109
0,87,76.04218
0,90,75.67364
0,93,75.30549
0,96,74.937874
0,99,74.57089
0,102,74.204605
0,105,73.8391
0,108,73.47445
0,111,73.11067
0,114,72.74787
0,117,72.386055
0,120,72.02528
0,135,70.23835
0,150,68.48269
0,165,66.7613
0,180,65.07597
0,195,63.42775
0,210,61.81715
0,225,60.244297
0,240,58.709
0,255,57.210873
0,270,55.749405
0,285,54.323994
0,300,52.933987
0,315,51.57869
0,330,50.257366
0,345,48.96927
0,360,47.713634
0,375,46.48971
0,390,45.29674
0,405,44.134
0,420,43.00076
0,435,41.896305
0,450,40.819946
0,465,39.770992
0,480,38.748775
0,495,37.752636
0,510,36.78192
0,525,35.83601
0,540,34.91428
0,555,34.01613
0,570,33.140972
0,585,32.288235
0,600,31.457352
0,615,30.647778
0,630,29.85898
0,645,29.090439
0,660,28.341642
0,675,27.612093
0,690,26.901308
0,705,26.208813
0,720,25.534142
0,735,24.876848
0,750,24.23649
0,765,23.612637
0,780,23.004871
0,795,22.412783
0,810,21.835972
0,825,21.274052
0,840,20.72664
0,855,20.193369
0,870,19.673878
0,885,19.167812
0,900,18.67483
0,915,18.194597
0,930,17.726786
0,945,17.271078
0,960,16.827164
0,975,16.39474
0,990,15.973511
0,1005,15.5631895
0,1020,15.163495
0,1035,14.774154
0,1050,14.394898
0,1065,14.02547
0,1080,13.665615
0,1095,13.315085
0,1110,12.97364
0,1125,12.641046
0,1140,12.317074
0,1155,12.001499
0,1170,11.694107
0,1185,11.394684
0,1200,11.1030245
0,1215,10.818927
0,1230,10.542195
0,1245,10.272639
0,1260,10.010073
0,1275,9.754313
0,1290,9.505185
0,1305,9.262516
0,1320,9.026137
0,1335,8.795886
0,1350,8.571604
0,1365,8.353134
0,1380,8.140327
0,1395,7.933034
0,1410,7.7311125
0,1425,7.5344224
0,1440,7.3428273
