"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,7.4242584E-05
0,6,0.0005509133
0,9,0.001684179
0,12,0.003607379
0,15,0.006375022
0,18,0.009997039
0,21,0.014460842
0,24,0.01974367
0,27,0.025819555
0,30,0.032662287
0,33,0.040246952
0,36,0.048550412
0,39,0.057551417
0,42,0.06723043
0,45,0.07756941
0,48,0.08855151
0,51,0.1001609
0,54,0.11238256
0,57,0.12520216
0,60,0.13860597
0,63,0.1525807
0,66,0.16711353
0,69,0.18219197
0,72,0.19780397
0,75,0.21393766
0,78,0.23058145
0,81,0.24772398
0,84,0.26535404
0,87,0.28346068
0,90,0.30203307
0,93,0.32106063
0,96,0.34053296
0,99,0.36043978
0,102,0.38077107
0,105,0.40151697
0,108,0.4226676
0,111,0.44421324
0,114,0.46614465
0,117,0.48845264
0,120,0.5111282
0,135,0.6297062
0,150,0.7556763
0,165,0.87540185
0,180,0.9809231
0,195,1.0740676
0,210,1.1562476
0,225,1.2284528
0,240,1.2915025
0,255,1.3461399
0,270,1.3930492
0,285,1.4328679
0,300,1.4661903
0,315,1.493569
0,330,1.5155165
0,345,1.5325079
0,360,1.5449833
0,375,1.5533496
0,390,1.5579838
0,405,1.5592341
0,420,1.5574224
0,435,1.5528454
0,450,1.5457771
0,465,1.5364705
0,480,1.5251575
0,495,1.5120525
0,510,1.4973505
0,525,1.4812336
0,540,1.4638666
0,555,1.4454033
0,570,1.4259843
0,585,1.4057381
0,600,1.3847839
0,615,1.3632288
0,630,1.3411722
0,645,1.3187039
0,660,1.295906
0,675,1.2728533
0,690,1.2496136
0,705,1.2262485
0,720,1.2028146
0,735,1.1793642
0,750,1.1559409
0,765,1.1325858
0,780,1.1093394
0,795,1.0862387
0,810,1.0633105
0,825,1.0405833
0,840,1.0180813
0,855,0.99582523
0,870,0.97383267
0,885,0.95211965
0,900,0.93070084
0,915,0.90958774
0,930,0.888791
0,945,0.86832
0,960,0.8481824
0,975,0.82838225
0,990,0.80892605
0,1005,0.789819
0,1020,0.7710655
0,1035,0.7526651
0,1050,0.7346201
0,1065,0.7169305
0,1080,0.69959533
0,1095,0.6826123
0,1110,0.6659806
0,1125,0.64969707
0,1140,0.633759
0,1155,0.6181636
0,1170,0.6029079
0,1185,0.5879877
0,1200,0.57339954
0,1215,0.5591394
0,1230,0.5452025
0,1245,0.53158426
0,1260,0.51827997
0,1275,0.5052845
0,1290,0.4925925
0,1305,0.4801991
0,1320,0.46809882
0,1335,0.4562864
0,1350,0.44475657
0,1365,0.43350407
0,1380,0.42252344
0,1395,0.4118094
0,1410,0.4013567
0,1425,0.39115983
0,1440,0.38121358
0,1455,0.3715127
0,1470,0.3620512
0,1485,0.3528243
0,1500,0.34382734
0,1515,0.33505526
0,1530,0.32650295
0,1545,0.31816533
0,1560,0.31003746
0,1575,0.30211455
0,1590,0.29439172
0,1605,0.28686443
0,1620,0.279528
0,1635,0.27237794
0,1650,0.26540977
0,1665,0.25861922
0,1680,0.25200197
0,1695,0.24555379
0,1710,0.23927069
0,1725,0.23314849
0,1740,0.22718336
0,1755,0.22137135
0,1770,0.21570872
0,1785,0.21019176
0,1800,0.20481679
0,1815,0.19958037
0,1830,0.19447891
0,1845,0.18950912
0,1860,0.1846676
0,1875,0.17995118
0,1890,0.17535664
0,1905,0.1708809
0,1920,0.16652097
0,1935,0.16227382
0,1950,0.1581367
0,1965,0.15410665
0,1980,0.15018104
0,1995,0.14635712
0,2010,0.1426323
0,2025,0.13900405
0,2040,0.13546982
0,2055,0.13202728
0,2070,0.12867396
0,2085,0.12540762
0,2100,0.12222596
0,2115,0.11912683
0,2130,0.11610805
0,2145,0.11316754
0,2160,0.11030331
0,2175,0.10751331
0,2190,0.10479566
0,2205,0.102148436
0,2220,0.09956983
0,2235,0.097058035
0,2250,0.09461131
0,2265,0.09222798
0,2280,0.08990635
0,2295,0.08764485
0,2310,0.08544187
0,2325,0.08329591
0,2340,0.08120546
0,2355,0.07916906
0,2370,0.077185325
0,2385,0.07525284
0,2400,0.07337031
0,2415,0.07153637
0,2430,0.069749795
0,2445,0.06800932
0,2460,0.06631374
0,2475,0.06466189
0,2490,0.0630526
0,2505,0.0614848
0,2520,0.059957348
0,2535,0.05846923
0,2550,0.057019383
0,2565,0.05560683
0,2580,0.054230582
0,2595,0.05288968
0,2610,0.051583223
0,2625,0.050310276
0,2640,0.049069997
0,2655,0.047861498
0,2670,0.046683967
0,2685,0.04553659
0,2700,0.044418566
0,2715,0.04332915
0,2730,0.042267565
0,2745,0.04123311
0,2760,0.040225055
0,2775,0.039242726
0,2790,0.038285438
0,2805,0.037352543
0,2820,0.036443405
0,2835,0.035557393
0,2850,0.034693923
0,2865,0.033852383
0,2880,0.03303222
