"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.09361243
0,6,1.0798228
0,9,3.2397444
0,12,6.3945794
0,15,10.289233
0,18,14.63685
0,21,19.177757
0,24,23.7048
0,27,28.064272
0,30,32.150097
0,33,35.895817
0,36,39.266045
0,39,42.248837
0,42,44.851
0,45,47.092182
0,48,48.999798
0,51,50.605305
0,54,51.9415
0,57,53.040688
0,60,53.933434
0,63,54.647884
0,66,55.209396
0,69,55.64046
0,72,55.96082
0,75,56.187607
0,78,56.335587
0,81,56.417408
0,84,56.443844
0,87,56.42404
0,90,56.365746
0,93,56.27549
0,96,56.158768
0,99,56.020187
0,102,55.86361
0,105,55.69226
0,108,55.508842
0,111,55.315617
0,114,55.11411
0,117,54.905136
0,120,54.68997
0,135,53.55893
0,150,52.393085
0,165,51.23059
0,180,50.087536
0,195,48.971233
0,210,47.885197
0,225,46.83109
0,240,45.809605
0,255,44.820835
0,270,43.864487
0,285,42.940002
0,300,42.046627
0,315,41.183487
0,330,40.349613
0,345,39.543976
0,360,38.765484
0,375,38.009876
0,390,37.27535
0,405,36.560253
0,420,35.86357
0,435,35.185593
0,450,34.52606
0,465,33.88463
0,480,33.260956
0,495,32.653564
0,510,32.057426
0,525,31.473473
0,540,30.901976
0,555,30.342781
0,570,29.795721
0,585,29.260641
0,600,28.737368
0,615,28.22572
0,630,27.725506
0,645,27.23653
0,660,26.758585
0,675,26.29146
0,690,25.834938
0,705,25.38816
0,720,24.94817
0,735,24.515368
0,750,24.089764
0,765,23.671167
0,780,23.259398
0,795,22.854294
0,810,22.455702
0,825,22.06347
0,840,21.677462
0,855,21.29754
0,870,20.923582
0,885,20.555464
0,900,20.193073
0,915,19.836302
0,930,19.48504
0,945,19.139194
0,960,18.798662
0,975,18.463354
0,990,18.133183
0,1005,17.808064
0,1020,17.487915
0,1035,17.17266
0,1050,16.862225
0,1065,16.556534
0,1080,16.255518
0,1095,15.959114
0,1110,15.667254
0,1125,15.379878
0,1140,15.096922
0,1155,14.818328
0,1170,14.544039
0,1185,14.273998
0,1200,14.008151
0,1215,13.746445
0,1230,13.488829
0,1245,13.235251
0,1260,12.985662
0,1275,12.740015
0,1290,12.498261
0,1305,12.260353
0,1320,12.026245
0,1335,11.795893
0,1350,11.56925
0,1365,11.346274
0,1380,11.126921
0,1395,10.911147
0,1410,10.698911
0,1425,10.490169
0,1440,10.284881
0,1455,10.083007
0,1470,9.8845
0,1485,9.689321
0,1500,9.497433
0,1515,9.308796
0,1530,9.123371
0,1545,8.941119
0,1560,8.761998
0,1575,8.58597
0,1590,8.412994
0,1605,8.243034
0,1620,8.076052
0,1635,7.9120064
0,1650,7.7508616
0,1665,7.592579
0,1680,7.437121
0,1695,7.28445
0,1710,7.1345286
0,1725,6.9873204
0,1740,6.8427877
0,1755,6.700894
0,1770,6.5616026
0,1785,6.424877
0,1800,6.2906814
0,1815,6.1589794
0,1830,6.029736
0,1845,5.9029145
0,1860,5.7784805
0,1875,5.656399
0,1890,5.536634
0,1905,5.419152
0,1920,5.3039174
0,1935,5.190897
0,1950,5.0800567
0,1965,4.971362
0,1980,4.864781
0,1995,4.760279
0,2010,4.657824
0,2025,4.557383
0,2040,4.458924
0,2055,4.3624144
0,2070,4.2678227
0,2085,4.1751175
0,2100,4.084267
0,2115,3.9952414
0,2130,3.908009
0,2145,3.8225403
0,2160,3.7388048
0,2175,3.656773
0,2190,3.5764158
0,2205,3.4977038
0,2220,3.4206085
0,2235,3.3451014
0,2250,3.2711544
0,2265,3.1987398
0,2280,3.1278303
0,2295,3.0583987
0,2310,2.9904184
0,2325,2.9238632
0,2340,2.8587065
0,2355,2.7949228
0,2370,2.7324867
0,2385,2.6713734
0,2400,2.6115577
0,2415,2.5530157
0,2430,2.4957232
0,2445,2.4396565
0,2460,2.3847919
0,2475,2.331107
0,2490,2.2785783
0,2505,2.227184
0,2520,2.1769023
0,2535,2.1277108
0,2550,2.0795887
0,2565,2.0325146
0,2580,1.986468
0,2595,1.9414284
0,2610,1.8973758
0,2625,1.8542905
0,2640,1.8121529
0,2655,1.770944
0,2670,1.7306451
0,2685,1.6912376
0,2700,1.6527032
0,2715,1.6150242
0,2730,1.578183
0,2745,1.5421625
0,2760,1.5069455
0,2775,1.4725153
0,2790,1.4388558
0,2805,1.4059507
0,2820,1.3737842
0,2835,1.3423407
0,2850,1.3116052
0,2865,1.2815627
0,2880,1.2521982
