"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Myometrium|Metronidazole|Tissue [µmol/l]","Organism|Endometrium|Metronidazole|Tissue [µmol/l]"
0,0,0,0,0
0,3,20.96384,13.760679,41.690147
0,6,42.53403,31.188913,60.34338
0,9,60.935184,47.72222,74.66747
0,12,76.73789,62.567318,86.6156
0,15,90.80166,75.784134,97.25687
0,18,103.7933,87.68632,107.14455
0,21,111.11242,95.694336,98.19594
0,24,99.59023,89.23923,77.066025
0,27,90.776405,81.597984,69.065125
0,30,84.86299,74.88634,64.419334
0,33,81.1502,69.6278,61.6018
0,36,78.8495,65.70531,59.771427
0,39,77.39359,62.832817,58.493916
0,42,76.42691,60.72808,57.5384
0,45,75.73871,59.16417,56.776833
0,48,75.2082,57.97354,56.137966
0,51,74.76699,57.038574,55.580494
0,54,74.376205,56.278793,55.07982
0,57,74.01315,55.639927,54.62023
0,60,73.66567,55.08561,54.19218
0,63,73.32767,54.591755,53.789753
0,66,72.99576,54.14264,53.408672
0,69,72.66745,53.727547,53.045338
0,72,72.340935,53.338703,52.69685
0,75,72.015335,52.970535,52.36112
0,78,71.69036,52.619102,52.036564
0,81,71.36603,52.28165,51.721954
0,84,71.04254,51.956337,51.416267
0,87,70.719696,51.641632,51.118412
0,90,70.39729,51.336098,50.827454
0,93,70.07525,51.038498,50.542614
0,96,69.75358,50.747826,50.26327
0,99,69.43243,50.46331,49.988934
0,102,69.111824,50.184338,49.71912
0,105,68.79177,49.91036,49.453396
0,108,68.472305,49.64093,49.191395
0,111,68.15344,49.37563,48.932796
0,114,67.83523,49.11409,48.67732
0,117,67.51768,48.85598,48.42474
0,120,67.20084,48.600998,48.17484
0,135,65.62874,47.36534,46.959946
0,150,64.07953,46.181812,45.792103
0,165,62.556255,45.039467,44.66246
0,180,61.061123,43.93179,43.565903
0,195,59.59557,42.855137,42.499367
0,210,58.160465,41.807285,41.460876
0,225,56.75629,40.78643,40.44888
0,240,55.383224,39.791172,39.462154
0,255,54.04121,38.82053,38.499767
0,270,52.73,37.873814,37.56101
0,285,51.449257,36.95024,36.645164
0,300,50.1985,36.049305,35.751682
0,315,48.977234,35.1703,34.879932
0,330,47.78493,34.312637,34.02933
0,345,46.621006,33.47575,33.199337
0,360,45.484898,32.659115,32.38942
0,375,44.37602,31.862236,31.5991
0,390,43.29378,31.084646,30.827904
0,405,42.23759,30.325886,30.075382
0,420,41.206875,29.585497,29.341078
0,435,40.20104,28.86305,28.62457
0,450,39.21952,28.15812,27.925434
0,465,38.261753,27.470282,27.243254
0,480,37.32717,26.799143,26.577635
0,495,36.41525,26.144295,25.928175
0,510,35.525444,25.505358,25.294495
0,525,34.65724,24.88195,24.676218
0,540,33.810135,24.2737,24.072979
0,555,32.98362,23.68025,23.484419
0,570,32.177216,23.101246,22.910189
0,585,31.390446,22.536346,22.349945
0,600,30.62284,21.98521,21.803358
0,615,29.873943,21.447514,21.2701
0,630,29.14331,20.922934,20.749851
0,645,28.430502,20.411158,20.242302
0,660,27.735094,19.911879,19.747149
0,675,27.056667,19.424795,19.264093
0,690,26.394817,18.949617,18.792845
0,705,25.749142,18.486057,18.33312
0,720,25.119255,18.033834,17.88464
0,735,24.50478,17.59268,17.447138
0,750,23.90534,17.162323,17.020346
0,765,23.320574,16.742502,16.604004
0,780,22.75013,16.332968,16.197863
0,795,22.193665,15.93347,15.801678
0,810,21.650839,15.543767,15.415207
0,825,21.121319,15.163618,15.038212
0,840,20.604786,14.792795,14.670466
0,855,20.100927,14.431074,14.311747
0,870,19.609434,14.078232,13.961835
0,885,19.130007,13.734053,13.620513
0,900,18.66235,13.398326,13.287576
0,915,18.20618,13.070847,12.962817
0,930,17.761217,12.751414,12.646039
0,945,17.327188,12.439832,12.337048
0,960,16.903826,12.135909,12.035651
0,975,16.49087,11.839457,11.741664
0,990,16.088066,11.550294,11.454906
0,1005,15.695168,11.268243,11.175201
0,1020,15.311932,10.99313,10.902377
0,1035,14.938123,10.724783,10.636263
0,1050,14.573508,10.463038,10.376697
0,1065,14.217866,10.207735,10.123518
0,1080,13.870975,9.958714,9.87657
0,1095,13.532619,9.715821,9.635699
0,1110,13.202593,9.478908,9.400759
0,1125,12.88069,9.247827,9.1716
0,1140,12.56671,9.022434,8.948085
0,1155,12.260461,8.80259,8.730072
0,1170,11.961752,8.5881605,8.517427
0,1185,11.670399,8.37901,8.3100195
0,1200,11.386218,8.175011,8.107718
0,1215,11.109036,7.976034,7.9103994
0,1230,10.838679,7.7819576,7.7179394
0,1245,10.574981,7.592661,7.530219
0,1260,10.317776,7.4080253,7.3471212
0,1275,10.066904,7.2279363,7.168532
0,1290,9.822209,7.052282,6.9943404
0,1305,9.583541,6.8809533,6.8244386
0,1320,9.35075,6.713843,6.65872
0,1335,9.12369,6.5508475,6.4970813
0,1350,8.902221,6.391865,6.3394227
0,1365,8.686204,6.236796,6.185645
0,1380,8.475505,6.085545,6.0356536
0,1395,8.269993,5.938017,5.8893538
0,1410,8.069539,5.7941203,5.746655
0,1425,7.8740196,5.653765,5.607468
0,1440,7.683312,5.5168643,5.4717064
