"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,21.047392
0,6,40.390697
0,9,55.86315
0,12,68.72354
0,15,80.081665
0,18,90.62681
0,21,95.11334
0,24,82.62558
0,27,74.40121
0,30,69.578285
0,33,66.89913
0,36,65.40956
0,39,64.54542
0,42,64.00119
0,45,63.61829
0,48,63.315144
0,51,63.05039
0,54,62.804447
0,57,62.5674
0,60,62.333405
0,63,62.099415
0,66,61.864746
0,69,61.6296
0,72,61.393894
0,75,61.15726
0,78,60.919605
0,81,60.68117
0,84,60.442184
0,87,60.202713
0,90,59.962757
0,93,59.72242
0,96,59.48183
0,99,59.24103
0,102,59.00023
0,105,58.75942
0,108,58.51872
0,111,58.278244
0,114,58.03796
0,117,57.797962
0,120,57.55828
0,135,56.36577
0,150,55.186493
0,165,54.023705
0,180,52.879326
0,195,51.75469
0,210,50.650616
0,225,49.567516
0,240,48.505604
0,255,47.46494
0,270,46.44546
0,285,45.447006
0,300,44.46929
0,315,43.51201
0,330,42.57483
0,345,41.657425
0,360,40.75946
0,375,39.88057
0,390,39.02038
0,405,38.178528
0,420,37.354652
0,435,36.548378
0,450,35.759365
0,465,34.987244
0,480,34.231667
0,495,33.4923
0,510,32.768795
0,525,32.060833
0,540,31.368086
0,555,30.690235
0,570,30.026972
0,585,29.377985
0,600,28.742975
0,615,28.121649
0,630,27.513718
0,645,26.918896
0,660,26.336905
0,675,25.767477
0,690,25.21034
0,705,24.66524
0,720,24.131914
0,735,23.610117
0,750,23.0996
0,765,22.600124
0,780,22.111454
0,795,21.63336
0,810,21.165613
0,825,20.707996
0,840,20.260292
0,855,19.822285
0,870,19.39377
0,885,18.974546
0,900,18.56441
0,915,18.163168
0,930,17.77063
0,945,17.386606
0,960,17.010918
0,975,16.643381
0,990,16.283821
0,1005,15.932069
0,1020,15.587953
0,1035,15.25131
0,1050,14.921979
0,1065,14.599801
0,1080,14.284622
0,1095,13.976292
0,1110,13.674661
0,1125,13.379585
0,1140,13.090922
0,1155,12.808534
0,1170,12.532284
0,1185,12.262038
0,1200,11.997669
0,1215,11.739047
0,1230,11.486048
0,1245,11.23855
0,1260,10.996434
0,1275,10.7595825
0,1290,10.527882
0,1305,10.301218
0,1320,10.079484
0,1335,9.862572
0,1350,9.650376
0,1365,9.442795
0,1380,9.239727
0,1395,9.041075
0,1410,8.846742
0,1425,8.656634
0,1440,8.470659
