"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Cervicovaginal fluid|Metronidazole|Concentration in container [µmol/l]"
0,0,0,0
0,3,0,0
0,6,0,0
0,9,0,0
0,12,0,0
0,15,9.394E-42,1.4E-44
0,18,8.229468E-38,1.29713E-40
0,21,1.6145946E-34,2.6520598E-37
0,24,2.5519047E-31,4.138321E-34
0,27,3.5790134E-28,7.0484104E-31
0,30,2.570011E-25,6.4084134E-28
0,33,4.1305442E-23,1.105008E-25
0,36,2.866864E-21,7.79654E-24
0,39,2.3805981E-19,6.66182E-22
0,42,2.477793E-17,8.819795E-20
0,45,1.5327796E-15,6.0314114E-18
0,48,4.5080262E-14,1.8379097E-16
0,51,9.944055E-13,4.1429178E-15
0,54,1.518399E-11,6.271517E-14
0,57,1.2107043E-10,4.715336E-13
0,60,1.3525272E-09,4.488219E-12
0,63,1.8108395E-08,5.636789E-11
0,66,2.2854267E-07,7.2549583E-10
0,69,2.5927293E-06,8.563441E-09
0,72,2.6464715E-05,9.118457E-08
0,75,0.00024488638,8.796692E-07
0,78,0.0020698926,7.7434015E-06
0,81,0.016078493,6.259805E-05
0,84,0.11482504,0.00046621214
0,87,0.733172,0.003160148
0,90,3.621542,0.018061558
0,93,10.345309,0.07255555
0,96,17.715572,0.19339854
0,99,23.60421,0.3878032
0,102,28.017822,0.65171444
0,105,31.340527,0.9767716
0,108,33.89684,1.3533634
0,111,35.90818,1.7720215
0,114,37.51875,2.2240562
0,117,38.82263,2.7017717
0,120,39.883755,3.1985197
0,135,42.81743,5.7991643
0,150,43.569775,8.336445
0,165,43.37361,10.65869
0,180,42.776096,12.735825
0,195,42.01962,14.580378
0,210,41.200714,16.215588
0,225,40.362617,17.664019
0,240,39.529175,18.945316
0,255,38.710346,20.076284
0,270,37.910885,21.071352
0,285,37.133133,21.943111
0,300,36.37821,22.70275
0,315,35.646545,23.360325
0,330,34.93815,23.924973
0,345,34.252754,24.405025
0,360,33.589905,24.808117
0,375,32.94902,25.14125
0,390,32.329426,25.410847
0,405,31.730398,25.622808
0,420,31.151165,25.782547
0,435,30.590303,25.895025
0,450,30.044844,25.964703
0,465,29.514954,25.995588
0,480,29.000212,25.991404
0,495,28.498014,25.955551
0,510,28.004911,25.890963
0,525,27.521673,25.800247
0,540,27.048061,25.68585
0,555,26.583738,25.55004
0,570,26.128393,25.394905
0,585,25.68173,25.222374
0,600,25.243465,25.034218
0,615,24.81333,24.832067
0,630,24.391071,24.617422
0,645,23.976444,24.391659
0,660,23.569221,24.156038
0,675,23.169182,23.91172
0,690,22.776117,23.659773
0,705,22.38983,23.401169
0,720,22.010132,23.136803
0,735,21.636826,22.867495
0,750,21.269573,22.593987
0,765,20.908346,22.316957
0,780,20.553146,22.037035
0,795,20.204058,21.754799
0,810,23.484545,21.488853
0,825,50.907646,22.16337
0,840,59.14856,24.102507
0,855,61.777706,26.42184
0,870,62.227566,28.678799
0,885,61.731472,30.721687
0,900,60.837444,32.52052
0,915,59.778095,34.087788
0,930,58.656845,35.446262
0,945,57.5237,36.618668
0,960,56.399914,37.62502
0,975,55.295227,38.482376
0,990,54.2143,39.20537
0,1005,53.159393,39.806778
0,1020,52.131542,40.29793
0,1035,51.131054,40.689022
0,1050,50.154533,40.989254
0,1065,49.20067,41.206795
0,1080,48.27022,41.34913
0,1095,47.363,41.423176
0,1110,46.478672,41.435314
0,1125,45.616863,41.39144
0,1140,44.777157,41.29699
