"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,7.680167E-05
0,6,0.0005593792
0,9,0.001690979
0,12,0.0035917654
0,15,0.0063057896
0,18,0.0098362425
0,21,0.014166935
0,24,0.019273618
0,27,0.025130166
0,30,0.031710945
0,33,0.03899203
0,36,0.046951436
0,39,0.055569116
0,42,0.064826734
0,45,0.074707374
0,48,0.08519529
0,51,0.09627565
0,54,0.10793439
0,57,0.120158084
0,60,0.13293384
0,63,0.1462492
0,66,0.16009212
0,69,0.17445089
0,72,0.18931411
0,75,0.20467065
0,78,0.22050959
0,81,0.23682022
0,84,0.25359198
0,87,0.2708145
0,90,0.28847766
0,93,0.30657136
0,96,0.32508588
0,99,0.34401146
0,102,0.36333865
0,105,0.3830581
0,108,0.40316063
0,111,0.42363694
0,114,0.44447827
0,117,0.46567592
0,120,0.48722142
0,135,0.5998715
0,150,0.7199985
0,165,0.8466707
0,180,0.9790305
0,195,1.1162907
0,210,1.2577295
0,225,1.4026859
0,240,1.5505543
0,255,1.7007798
0,270,1.852859
0,285,2.0063298
0,300,2.1607769
0,315,2.315819
0,330,2.4711123
0,345,2.6263425
0,360,2.7812274
0,375,2.93551
0,390,3.0889611
0,405,3.2413743
0,420,3.392566
0,435,3.5423717
0,450,3.6906466
0,465,3.8372612
0,480,3.9821048
0,495,4.125078
0,510,4.2660937
0,525,4.405072
0,540,4.5419617
0,555,4.6767077
0,570,4.8092575
0,585,4.9395666
0,600,5.067625
0,615,5.1934085
0,630,5.316892
0,645,5.438059
0,660,5.5569196
0,675,5.673475
0,690,5.787722
0,705,5.8996677
0,720,6.009331
0,735,6.1167283
0,750,6.221875
0,765,6.324792
0,780,6.425504
0,795,6.524038
0,810,6.6204176
0,825,6.71467
0,840,6.8068285
0,855,6.8948455
0,870,6.964362
0,885,7.013274
0,900,7.0442543
0,915,7.0592093
0,930,7.059677
0,945,7.0470414
0,960,7.022562
0,975,6.987397
0,990,6.9426203
0,1005,6.8892274
0,1020,6.8281355
0,1035,6.7601905
0,1050,6.686171
0,1065,6.606793
0,1080,6.5227156
0,1095,6.434545
0,1110,6.3428364
0,1125,6.2480993
0,1140,6.1508007
0,1155,6.0513663
0,1170,5.9501877
0,1185,5.8476195
0,1200,5.743988
0,1215,5.6395884
0,1230,5.534691
0,1245,5.4295354
0,1260,5.324346
0,1275,5.2193255
0,1290,5.1146464
0,1305,5.0104766
0,1320,4.9069686
0,1335,4.804244
0,1350,4.7024236
0,1365,4.6016173
0,1380,4.5019126
0,1395,4.40339
0,1410,4.306125
0,1425,4.2101784
0,1440,4.1156006
0,1455,4.022463
0,1470,3.9307654
0,1485,3.8405523
0,1500,3.7518516
0,1515,3.664682
0,1530,3.579062
0,1545,3.4950058
0,1560,3.4125216
0,1575,3.3316123
0,1590,3.2522786
0,1605,3.1745176
0,1620,3.0983243
0,1635,3.023691
0,1650,2.950608
0,1665,2.8790648
0,1680,2.8090472
0,1695,2.7405405
0,1710,2.673528
0,1725,2.6079934
0,1740,2.5439184
0,1755,2.481281
0,1770,2.4200585
0,1785,2.3602314
0,1800,2.3017771
0,1815,2.2446733
0,1830,2.1888978
0,1845,2.134428
0,1860,2.0812407
0,1875,2.0293126
0,1890,1.9786204
0,1905,1.9291403
0,1920,1.8808483
0,1935,1.8337204
0,1950,1.7877339
0,1965,1.7428643
0,1980,1.6990887
0,1995,1.656384
0,2010,1.614727
0,2025,1.5740955
0,2040,1.5344666
0,2055,1.4958184
0,2070,1.4581289
0,2085,1.4213765
0,2100,1.3855399
0,2115,1.3505981
0,2130,1.3165305
0,2145,1.2833169
0,2160,1.250937
0,2175,1.2193713
0,2190,1.1886004
0,2205,1.1586057
0,2220,1.1293682
0,2235,1.1008699
0,2250,1.0730929
0,2265,1.0460199
0,2280,1.0196337
0,2295,0.9939173
0,2310,0.9688545
0,2325,0.94442916
0,2340,0.9206255
0,2355,0.89742815
0,2370,0.874822
0,2385,0.8527924
0,2400,0.83132476
0,2415,0.8104052
0,2430,0.7900198
0,2445,0.77015525
0,2460,0.7507984
0,2475,0.7319364
0,2490,0.71355677
0,2505,0.69564724
0,2520,0.6781959
0,2535,0.66119117
0,2550,0.6446217
0,2565,0.6284762
0,2580,0.6127441
0,2595,0.5974147
0,2610,0.5824777
0,2625,0.567923
0,2640,0.553741
0,2655,0.53992194
0,2670,0.5264566
0,2685,0.5133358
0,2700,0.50055087
0,2715,0.488093
0,2730,0.4759538
0,2745,0.4641251
0,2760,0.45259887
0,2775,0.44136733
0,2790,0.43042284
0,2805,0.41975802
0,2820,0.40936565
0,2835,0.39923865
0,2850,0.38937023
0,2865,0.37975365
0,2880,0.37038243
