"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.09226024
0,6,1.006409
0,9,2.9367282
0,12,5.6939898
0,15,9.041289
0,18,12.727035
0,21,16.532494
0,24,20.289022
0,27,23.875397
0,30,27.211044
0,33,30.24809
0,36,32.96426
0,39,35.355473
0,42,37.430874
0,45,39.209667
0,48,40.716755
0,51,41.97979
0,54,43.026707
0,57,43.884346
0,60,44.577847
0,63,45.130123
0,66,45.561657
0,69,45.89049
0,72,46.13235
0,75,46.300835
0,78,46.407616
0,81,46.462658
0,84,46.47443
0,87,46.450115
0,90,46.39577
0,93,46.316494
0,96,46.216587
0,99,46.099636
0,102,45.968662
0,105,45.826183
0,108,45.674305
0,111,45.514786
0,114,45.349083
0,117,45.17843
0,120,45.00383
0,135,44.09568
0,150,43.15815
0,165,42.222782
0,180,41.30355
0,195,40.406357
0,210,39.533962
0,225,38.68763
0,240,37.867817
0,255,37.074512
0,270,36.307396
0,285,35.565937
0,300,34.849472
0,315,34.157234
0,330,33.488388
0,345,32.842075
0,360,32.217022
0,375,31.609724
0,390,31.020164
0,405,30.447939
0,420,29.88922
0,435,29.341606
0,450,28.805716
0,465,28.281193
0,480,27.767654
0,495,27.264725
0,510,26.772057
0,525,26.289309
0,540,25.816162
0,555,25.352312
0,570,24.897469
0,585,24.451357
0,600,24.013712
0,615,23.584284
0,630,23.16283
0,645,22.749125
0,660,22.34295
0,675,21.944098
0,690,21.552368
0,705,21.167576
0,720,20.789536
0,735,20.41808
0,750,20.05304
0,765,19.69426
0,780,19.341593
0,795,18.994892
0,810,18.654022
0,825,18.318853
0,840,17.98926
0,855,17.665121
0,870,17.346323
0,885,17.032757
0,900,16.724318
0,915,16.420902
0,930,16.122416
0,945,15.828767
0,960,15.539865
0,975,15.255624
0,990,14.975963
0,1005,14.700803
0,1020,14.430066
0,1035,14.163681
0,1050,13.901575
0,1065,13.64368
0,1080,13.38993
0,1095,13.140261
0,1110,12.89461
0,1125,12.652918
0,1140,12.415126
0,1155,12.181176
0,1170,11.9510145
0,1185,11.7245865
0,1200,11.50184
0,1215,11.282722
0,1230,11.067185
0,1245,10.855179
0,1260,10.646656
0,1275,10.441569
0,1290,10.239872
0,1305,10.041519
0,1320,9.846467
0,1335,9.654672
0,1350,9.46609
0,1365,9.28068
0,1380,9.098398
0,1395,8.919206
0,1410,8.743061
0,1425,8.569923
0,1440,8.399755
