"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.0008104336
0,6,0.005907249
0,9,0.017864723
0,12,0.037956536
0,15,0.06665042
0,18,0.10397995
0,21,0.14977312
0,24,0.20377329
0,27,0.265702
0,30,0.33528724
0,33,0.412275
0,36,0.4964322
0,39,0.5875465
0,42,0.68542355
0,45,0.7898843
0,48,0.9007623
0,51,1.0179008
0,54,1.1411514
0,57,1.2703723
0,60,1.4054276
0,63,1.5461859
0,66,1.6925209
0,69,1.8443086
0,72,2.0014305
0,75,2.1637683
0,78,2.3312078
0,81,2.5036356
0,84,2.680941
0,87,2.8630157
0,90,3.0495415
0,93,3.237714
0,96,3.4242704
0,99,3.6073706
0,102,3.7862062
0,105,3.960535
0,108,4.1303835
0,111,4.2958856
0,114,4.4572253
0,117,4.6145844
0,120,4.7681384
0,135,5.4834437
0,150,6.119615
0,165,6.684489
0,180,7.1839485
0,195,7.623225
0,210,8.00714
0,225,8.340073
0,240,8.626151
0,255,8.869273
0,270,9.073036
0,285,9.240766
0,300,9.375552
0,315,9.4802685
0,330,9.557579
0,345,9.609945
0,360,9.639641
0,375,9.648761
0,390,9.639244
0,405,9.612882
0,420,9.571329
0,435,9.516104
0,450,9.448622
0,465,9.370163
0,480,9.28193
0,495,9.185011
0,510,9.080415
0,525,8.969064
0,540,8.8518095
0,555,8.729431
0,570,8.602645
0,585,8.472105
0,600,8.338412
0,615,8.202113
0,630,8.06371
0,645,7.923658
0,660,7.7823744
0,675,7.640239
0,690,7.497596
0,705,7.3547583
0,720,7.212009
0,735,7.0696034
0,750,6.927773
0,765,6.786726
0,780,6.646648
0,795,6.507707
0,810,6.370052
0,825,6.233815
0,840,6.099113
0,855,5.9660497
0,870,5.834714
0,885,5.7051845
0,900,5.5775294
0,915,5.4518046
0,930,5.3280606
0,945,5.206339
0,960,5.0866685
0,975,4.969079
0,990,4.8535895
0,1005,4.740212
0,1020,4.628957
0,1035,4.5198264
0,1050,4.4128203
0,1065,4.307934
0,1080,4.205158
0,1095,4.1044827
0,1110,4.005893
0,1125,3.909373
0,1140,3.8149028
0,1155,3.7224631
0,1170,3.6320295
0,1185,3.5435789
0,1200,3.4570863
0,1215,3.3725235
0,1230,3.2898636
0,1245,3.209078
0,1260,3.1301367
0,1275,3.0530097
0,1290,2.9776666
0,1305,2.9040763
0,1320,2.8322074
0,1335,2.7620285
0,1350,2.693508
0,1365,2.626614
0,1380,2.561315
0,1395,2.4975793
0,1410,2.4353757
0,1425,2.3746724
0,1440,2.3154383
0,1455,2.2576437
0,1470,2.201253
0,1485,2.146238
0,1500,2.0925722
0,1515,2.040226
0,1530,1.989169
0,1545,1.9393724
0,1560,1.8908073
0,1575,1.8434454
0,1590,1.7972589
0,1605,1.7522211
0,1620,1.7083048
0,1635,1.6654842
0,1650,1.6237333
0,1665,1.5830269
0,1680,1.5433403
0,1695,1.5046489
0,1710,1.4669294
0,1725,1.4301578
0,1740,1.3943117
0,1755,1.3593682
0,1770,1.3253058
0,1785,1.2921026
0,1800,1.2597376
0,1815,1.2281905
0,1830,1.1974409
0,1845,1.1674693
0,1860,1.138256
0,1875,1.1097827
0,1890,1.0820307
0,1905,1.0549821
0,1920,1.0286193
0,1935,1.0029249
0,1950,0.9778828
0,1965,0.95347595
0,1980,0.9296888
0,1995,0.9065054
0,2010,0.88391083
0,2025,0.86188996
0,2040,0.8404284
0,2055,0.8195121
0,2070,0.799127
0,2085,0.77925986
0,2100,0.7598973
0,2115,0.7410267
0,2130,0.7226353
0,2145,0.70471114
0,2160,0.6872422
0,2175,0.6702168
0,2190,0.6536239
0,2205,0.637452
0,2220,0.62169087
0,2235,0.60632956
0,2250,0.59135807
0,2265,0.57676643
0,2280,0.56254476
0,2295,0.5486839
0,2310,0.53517413
0,2325,0.522007
0,2340,0.5091733
0,2355,0.4966647
0,2370,0.48447278
0,2385,0.47258943
0,2400,0.46100682
0,2415,0.44971704
0,2430,0.43871284
0,2445,0.42798662
0,2460,0.4175315
0,2475,0.40734032
0,2490,0.3974064
0,2505,0.38772315
0,2520,0.37828404
0,2535,0.36908296
0,2550,0.36011362
0,2565,0.35137028
0,2580,0.34284693
0,2595,0.33453807
0,2610,0.32643813
0,2625,0.31854177
0,2640,0.31084383
0,2655,0.30333906
0,2670,0.2960227
0,2685,0.28888977
0,2700,0.28193566
0,2715,0.27515572
0,2730,0.26854554
0,2745,0.26210076
0,2760,0.2558171
0,2775,0.24969052
0,2790,0.2437169
0,2805,0.23789242
0,2820,0.23221318
0,2835,0.22667554
0,2850,0.22127582
0,2865,0.21601051
0,2880,0.21087623
