"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.09687555
0,6,0.97081214
0,9,2.7116008
0,12,5.1361785
0,15,8.056973
0,18,11.275225
0,21,14.615336
0,24,17.939224
0,27,21.144825
0,30,24.161291
0,33,26.94337
0,36,29.466356
0,39,31.720577
0,42,33.708374
0,45,35.441605
0,48,36.93777
0,51,38.217472
0,54,39.302452
0,57,40.214405
0,60,40.97414
0,63,41.60099
0,66,42.11253
0,69,42.52457
0,72,42.851135
0,75,43.104527
0,78,43.29547
0,81,43.433243
0,84,43.525856
0,87,43.580235
0,90,43.602283
0,93,43.597034
0,96,43.568775
0,99,43.521168
0,102,43.457348
0,105,43.37995
0,108,43.291195
0,111,43.19295
0,114,43.086815
0,117,42.97416
0,120,42.856037
0,135,42.20155
0,150,41.49551
0,165,40.776985
0,180,40.06279
0,195,39.36093
0,210,38.675407
0,225,38.00824
0,240,37.360405
0,255,36.73229
0,270,36.123898
0,285,35.535
0,300,34.965202
0,315,34.41399
0,330,33.880768
0,345,33.36489
0,360,32.86569
0,375,32.382404
0,390,31.912138
0,405,31.45397
0,420,31.0056
0,435,30.567533
0,450,30.139835
0,465,29.72087
0,480,29.30686
0,495,28.899075
0,510,28.497692
0,525,28.102741
0,540,27.714235
0,555,27.332176
0,570,26.956554
0,585,26.587345
0,600,26.224514
0,615,25.86802
0,630,25.5172
0,645,25.170301
0,660,24.827658
0,675,24.48922
0,690,24.154884
0,705,23.824535
0,720,23.498066
0,735,23.175385
0,750,22.856403
0,765,22.541039
0,780,22.229214
0,795,21.920858
0,810,21.615908
0,825,21.314295
0,840,21.015965
0,855,20.720861
0,870,20.428934
0,885,20.140137
0,900,19.854424
0,915,19.571754
0,930,19.292091
0,945,19.0154
0,960,18.741642
0,975,18.47079
0,990,18.202816
0,1005,17.93769
0,1020,17.675388
0,1035,17.415886
0,1050,17.159164
0,1065,16.9052
0,1080,16.653973
0,1095,16.405464
0,1110,16.15966
0,1125,15.916542
0,1140,15.676095
0,1155,15.438303
0,1170,15.203152
0,1185,14.97063
0,1200,14.740723
0,1215,14.513417
0,1230,14.288701
0,1245,14.066563
0,1260,13.846991
0,1275,13.629972
0,1290,13.415497
0,1305,13.203553
0,1320,12.994128
0,1335,12.787212
0,1350,12.582793
0,1365,12.380859
0,1380,12.181399
0,1395,11.984402
0,1410,11.789853
0,1425,11.597743
0,1440,11.408058
0,1455,11.22079
0,1470,11.035917
0,1485,10.853433
0,1500,10.673322
0,1515,10.495572
0,1530,10.320169
0,1545,10.1471
0,1560,9.976351
0,1575,9.807904
0,1590,9.641747
0,1605,9.477865
0,1620,9.316241
0,1635,9.15686
0,1650,8.999707
0,1665,8.844765
0,1680,8.692017
0,1695,8.541446
0,1710,8.393037
0,1725,8.24677
0,1740,8.102631
0,1755,7.9605985
0,1770,7.820657
0,1785,7.6827874
0,1800,7.5469723
0,1815,7.413192
0,1830,7.2814283
0,1845,7.151663
0,1860,7.0238757
0,1875,6.898048
0,1890,6.77416
0,1905,6.6521926
0,1920,6.5321264
0,1935,6.4139414
0,1950,6.2976174
0,1965,6.1831346
0,1980,6.0704737
0,1995,5.959614
0,2010,5.850535
0,2025,5.743217
0,2040,5.63764
0,2055,5.533783
0,2070,5.4316263
0,2085,5.331149
0,2100,5.2323318
0,2115,5.1351533
0,2130,5.0395937
0,2145,4.9456325
0,2160,4.8532495
0,2175,4.7624245
0,2190,4.6731377
0,2205,4.5853686
0,2220,4.499097
0,2235,4.4143033
0,2250,4.3309674
0,2265,4.249069
0,2280,4.1685896
0,2295,4.0895085
0,2310,4.0118065
0,2325,3.935464
0,2340,3.8604617
0,2355,3.7867806
0,2370,3.7144015
0,2385,3.6433055
0,2400,3.5734737
0,2415,3.5048873
0,2430,3.4375281
0,2445,3.3713775
0,2460,3.3064172
0,2475,3.242629
0,2490,3.1799953
0,2505,3.1184978
0,2520,3.0581195
0,2535,2.9988425
0,2550,2.9406495
0,2565,2.8835237
0,2580,2.827448
0,2595,2.7724051
0,2610,2.7183793
0,2625,2.6653535
0,2640,2.6133118
0,2655,2.562238
0,2670,2.512116
0,2685,2.4629304
0,2700,2.4146657
0,2715,2.3673062
0,2730,2.3208373
0,2745,2.2752433
0,2760,2.23051
0,2775,2.1866224
0,2790,2.1435664
0,2805,2.1013277
0,2820,2.059892
0,2835,2.0192456
0,2850,1.979375
0,2865,1.9402665
0,2880,1.9019067
