"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Myometrium|Metronidazole|Tissue [µmol/l]","Organism|Endometrium|Metronidazole|Tissue [µmol/l]"
0,0,0,0,0
0,3,0.05887731,0.03492488,0.19025776
0,6,0.7165291,0.46833348,1.5188037
0,9,2.199346,1.5447128,3.6887038
0,12,4.4018903,3.2548552,6.4205327
0,15,7.1579247,5.4986496,9.480657
0,18,10.270677,8.121679,12.64753
0,21,13.555623,10.957473,15.753126
0,24,16.860874,13.854849,18.680565
0,27,20.070396,16.689577,21.353975
0,30,23.101206,19.367678,23.72987
0,33,25.898783,21.824228,25.790236
0,36,28.431988,24.019875,27.536179
0,39,30.687614,25.936079,28.981186
0,42,32.66589,27.570412,30.147842
0,45,34.377815,28.933086,31.065483
0,48,35.841393,30.043028,31.765429
0,51,37.078487,30.924347,32.27876
0,54,38.112537,31.603516,32.634857
0,57,38.967117,32.107525,32.860584
0,60,39.66486,32.462433,32.97985
0,63,40.22677,32.692406,33.01344
0,66,40.671936,32.819283,32.979134
0,69,41.01745,32.8624,32.891937
0,72,41.27834,32.83851,32.764317
0,75,41.46768,32.761864,32.606514
0,78,41.59677,32.644432,32.426853
0,81,41.675304,32.496185,32.23204
0,84,41.71158,32.325317,32.027386
0,87,41.712624,32.138477,31.817066
0,90,41.68438,31.940975,31.604326
0,93,41.631855,31.73702,31.391623
0,96,41.559265,31.529888,31.180784
0,99,41.47013,31.322102,30.973137
0,102,41.367405,31.115564,30.769613
0,105,41.253548,30.911676,30.570839
0,108,41.13062,30.711433,30.37718
0,111,41.000324,30.515509,30.188818
0,114,40.864075,30.32433,30.005795
0,117,40.723057,30.138128,29.828053
0,120,40.57824,29.956993,29.655445
0,135,39.8203,29.1235,28.860207
0,150,39.033382,28.383429,28.146572
0,165,38.245464,27.711077,27.494005
0,180,37.46923,27.088423,26.88581
0,195,36.70993,26.502697,26.311096
0,210,35.970085,25.945969,25.763287
0,225,35.250965,25.413452,25.238417
0,240,34.553158,24.9022,24.734005
0,255,33.876846,24.410292,24.24839
0,270,33.22193,23.936365,23.780352
0,285,32.588104,23.479372,23.328918
0,300,31.974926,23.038431,22.893257
0,315,31.381847,22.612766,22.472614
0,330,30.808249,22.201656,22.06629
0,345,30.25346,21.804426,21.673618
0,360,29.716778,21.42043,21.293966
0,375,29.1965,21.048307,20.925331
0,390,28.690239,20.68588,20.56622
0,405,28.198206,20.33347,20.217161
0,420,27.719988,19.99092,19.87783
0,435,27.251894,19.655376,19.54391
0,450,26.79227,19.325106,19.215616
0,465,26.341614,19.00094,18.89351
0,480,25.899654,18.682869,18.57746
0,495,32.634663,23.877403,27.762817
0,510,48.187042,37.469517,41.741104
0,525,59.077538,46.76122,48.80107
0,540,63.980377,50.014816,50.440426
0,555,65.402794,50.04024,49.793655
0,570,65.24015,48.945503,48.515903
0,585,64.419945,47.632874,47.196198
0,600,63.349808,46.3894,45.990902
0,615,62.195503,45.265835,44.90646
0,630,61.02241,44.24464,43.914917
0,645,59.852703,43.295692,42.986538
0,660,58.698025,42.39881,42.104935
0,675,57.56365,41.541256,41.259193
0,690,56.452023,40.71506,40.442707
0,705,55.36441,39.91545,39.651546
0,720,54.301476,39.13954,38.883312
0,735,53.263515,38.385525,38.136463
0,750,52.25059,37.652184,37.409935
0,765,51.262608,36.93862,36.702915
0,780,50.299335,36.244144,36.01476
0,795,49.360462,35.568146,35.344887
0,810,48.44561,34.910095,34.692783
0,825,47.554344,34.269497,34.057964
0,840,46.685505,33.645348,33.439
0,855,45.83702,33.035812,32.834045
0,870,45.006683,32.438995,32.241497
0,885,44.194904,31.855328,31.662302
0,900,43.40165,31.285011,31.096445
0,915,42.62669,30.727928,30.543768
0,930,41.86977,30.183899,30.004076
0,945,41.1306,29.65271,29.477106
0,960,40.405235,29.131271,28.958138
0,975,46.86595,34.128483,37.95058
0,990,62.161358,47.53769,51.749382
0,1005,72.80093,56.650993,58.631256
0,1020,77.45488,59.72627,60.092407
0,1035,78.630005,59.57362,59.26717
0,1050,78.213776,58.294807,57.803726
0,1065,77.14376,56.800407,56.303455
0,1080,75.82595,55.37721,54.91886
0,1095,74.42508,54.07473,53.655663
0,1110,73.00666,52.875343,52.48667
0,1125,71.59698,51.752514,51.38598
0,1140,70.20697,50.68564,50.335514
0,1155,68.84146,49.66128,49.323986
0,1170,67.50272,48.671238,48.344616
0,1185,66.191895,47.7106,47.393356
0,1200,64.9095,46.776386,46.4677
0,1215,63.65573,45.866676,45.566025
0,1230,62.430534,44.980183,44.68718
0,1245,61.233715,44.115936,43.83029
0,1260,60.06496,43.27318,42.994648
0,1275,58.923885,42.451256,42.17963
0,1290,57.810047,41.649593,41.38468
0,1305,56.72296,40.867657,40.609283
0,1320,55.662125,40.104954,39.852955
0,1335,54.626534,39.36067,39.114452
0,1350,53.613483,38.63243,38.391544
0,1365,52.623238,37.92045,37.685055
0,1380,51.655663,37.224834,36.994892
0,1395,50.71045,36.545387,36.320824
0,1410,49.787247,35.881866,35.662586
0,1425,48.885696,35.233994,35.019905
0,1440,48.00368,34.6002,34.38999
0,1455,54.313457,39.489277,43.276623
0,1470,69.467285,52.797962,56.976765
