"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Metronidazole|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.00017360986
0,6,0.0012727748
0,9,0.003862964
0,12,0.008230294
0,15,0.014484759
0,18,0.022640163
0,21,0.032663137
0,24,0.04450072
0,27,0.058094233
0,30,0.073385544
0,33,0.090320006
0,36,0.10884714
0,39,0.12892076
0,42,0.15049846
0,45,0.17354107
0,48,0.198012
0,51,0.22387677
0,54,0.25110266
0,57,0.27965838
0,60,0.3095139
0,63,0.34064007
0,66,0.3730089
0,69,0.4065929
0,72,0.44136563
0,75,0.47730088
0,78,0.5143733
0,81,0.5525577
0,84,0.5918294
0,87,0.63216436
0,90,0.6735385
0,93,0.7159286
0,96,0.75931174
0,99,0.8036651
0,102,0.8489666
0,105,0.8951944
0,108,0.9423266
0,111,0.990342
0,114,1.03922
0,117,1.0889403
0,120,1.139483
0,135,1.403838
0,150,1.6858945
0,165,1.9834692
0,180,2.2945518
0,195,2.6172965
0,210,2.9499855
0,225,3.272709
0,240,3.557367
0,255,3.8071215
0,270,4.025996
0,285,4.2168255
0,300,4.3819385
0,315,4.523445
0,330,4.6432853
0,345,4.743264
0,360,4.8250656
0,375,4.890252
0,390,4.940273
0,405,4.9764686
0,420,5.000081
0,435,5.012261
0,450,5.014071
0,465,5.006494
0,480,4.9904375
0,495,4.96674
0,510,4.9361706
0,525,4.899447
0,540,4.857212
0,555,4.8100786
0,570,4.7585897
0,585,4.7032743
0,600,4.644585
0,615,4.5829515
0,630,4.5187845
0,645,4.4524198
0,660,4.3841963
0,675,4.3144217
0,690,4.24336
0,705,4.1712713
0,720,4.0983872
0,735,4.0394073
0,750,4.024483
0,765,4.050582
0,780,4.1124763
0,795,4.2062883
0,810,4.328788
0,825,4.4770594
0,840,4.648421
0,855,4.8403974
0,870,5.0507073
0,885,5.2772446
0,900,5.5180645
0,915,5.7713785
0,930,6.0355186
0,945,6.290622
0,960,6.5086126
0,975,6.6926837
0,990,6.846885
0,1005,6.9740744
0,1020,7.0765944
0,1035,7.1565704
0,1050,7.2159567
0,1065,7.2565637
0,1080,7.2800756
0,1095,7.2880588
0,1110,7.281964
0,1125,7.263133
0,1140,7.232805
0,1155,7.192123
0,1170,7.142144
0,1185,7.083845
0,1200,7.018127
0,1215,6.9458137
0,1230,6.867667
0,1245,6.784383
0,1260,6.6966014
0,1275,6.6049156
0,1290,6.50986
0,1305,6.411937
0,1320,6.311596
0,1335,6.2092557
0,1350,6.105293
0,1365,6.000056
0,1380,5.8938627
0,1395,5.787003
0,1410,5.679727
0,1425,5.572288
0,1440,5.46489
0,1455,5.372187
0,1470,5.324339
0,1485,5.318311
0,1500,5.348845
0,1515,5.4120574
0,1530,5.504705
0,1545,5.6238422
0,1560,5.766777
0,1575,5.9310303
0,1590,6.1143045
0,1605,6.3144727
0,1620,6.5295744
0,1635,6.7578073
0,1650,6.9974895
0,1665,7.2287674
0,1680,7.4234776
0,1695,7.5848565
0,1710,7.71695
0,1725,7.8225937
0,1740,7.9040685
0,1755,7.963526
0,1770,8.002921
0,1785,8.024032
0,1800,8.02852
0,1815,8.017949
0,1830,7.993767
0,1845,7.9573026
0,1860,7.909779
0,1875,7.8523307
0,1890,7.786004
0,1905,7.7117677
0,1920,7.630508
0,1935,7.5430417
0,1950,7.45012
0,1965,7.3524256
0,1980,7.2505984
0,1995,7.145211
0,2010,7.0368023
0,2025,6.925856
0,2040,6.812819
0,2055,6.6981015
0,2070,6.582071
0,2085,6.465069
0,2100,6.3474
0,2115,6.2293477
0,2130,6.111164
0,2145,5.9930787
0,2160,5.8753066
0,2175,5.7725024
0,2190,5.7148056
0,2205,5.6991787
0,2220,5.720354
0,2235,5.7744446
0,2250,5.8581924
0,2265,5.96866
0,2280,6.103153
0,2295,6.259181
0,2310,6.434433
0,2325,6.6267796
0,2340,6.8342547
0,2355,7.055054
0,2370,7.2874923
0,2385,7.5117135
0,2400,7.699543
0,2415,7.854216
0,2430,7.979771
0,2445,8.079041
0,2460,8.154304
0,2475,8.207702
0,2490,8.241189
0,2505,8.256539
0,2520,8.255413
0,2535,8.239367
0,2550,8.209846
0,2565,8.168174
0,2580,8.115573
0,2595,8.053173
0,2610,7.9820185
0,2625,7.903073
0,2640,7.817221
0,2655,7.7252765
0,2670,7.627987
0,2685,7.5260324
0,2700,7.4200506
0,2715,7.3106117
0,2730,7.198251
0,2745,7.0834513
0,2760,6.9666553
0,2775,6.8482714
0,2790,6.728665
0,2805,6.608175
0,2820,6.487105
0,2835,6.365733
0,2850,6.2443132
0,2865,6.1230717
0,2880,6.002221
0,2895,5.8964124
0,2910,5.835786
0,2925,5.8173018
0,2940,5.8356905
0,2955,5.887063
0,2970,5.9681606
0,2985,6.0760427
0,3000,6.2080154
0,3015,6.3615847
0,3030,6.534439
0,3045,6.7244473
0,3060,6.929642
0,3075,7.1482167
0,3090,7.378486
0,3105,7.600592
0,3120,7.7863584
0,3135,7.9390182
0,3150,8.062611
0,3165,8.1599455
0,3180,8.23335
0,3195,8.284935
0,3210,8.316636
0,3225,8.33025
0,3240,8.327436
0,3255,8.309745
0,3270,8.278614
0,3285,8.23537
0,3300,8.181235
0,3315,8.117339
0,3330,8.044722
0,3345,7.9643455
0,3360,7.8770976
0,3375,7.783787
0,3390,7.6851654
0,3405,7.581911
0,3420,7.474658
0,3435,7.3639784
0,3450,7.250404
0,3465,7.1344194
0,3480,7.016468
0,3495,6.8969555
0,3510,6.77625
0,3525,6.654687
0,3540,6.5325713
0,3555,6.410179
0,3570,6.2877626
0,3585,6.1655474
0,3600,6.0437407
0,3615,5.9370093
0,3630,5.8754816
0,3645,5.8561177
0,3660,5.873647
0,3675,5.9241805
0,3690,6.004459
0,3705,6.1115413
0,3720,6.242733
0,3735,6.3955393
0,3750,6.5676494
0,3765,6.7569304
0,3780,6.961416
0,3795,7.1792974
0,3810,7.40889
0,3825,7.6303353
0,3840,7.815456
0,3855,7.9674854
0,3870,8.090462
0,3885,8.187196
0,3900,8.260013
0,3915,8.311024
0,3930,8.342164
0,3945,8.35523
0,3960,8.351882
0,3975,8.333668
0,3990,8.302026
0,4005,8.258283
0,4020,8.20366
0,4035,8.139287
0,4050,8.066204
0,4065,7.9853725
0,4080,7.8976793
0,4095,7.8039336
0,4110,7.7048874
0,4125,7.6012177
0,4140,7.4935584
0,4155,7.382482
0,4170,7.26852
0,4185,7.152156
0,4200,7.0338335
0,4215,6.9139585
0,4230,6.7928987
0,4245,6.670989
0,4260,6.5485344
0,4275,6.4258113
0,4290,6.303071
0,4305,6.180539
0,4320,6.058423
0,4335,5.9513893
0,4350,5.8895655
0,4365,5.869912
0,4380,5.887159
0,4395,5.9374156
0,4410,6.0174236
0,4425,6.124242
0,4440,6.2551746
0,4455,6.4077287
0,4470,6.5795918
0,4485,6.768631
0,4500,6.9728804
0,4515,7.1905313
0,4530,7.4198976
0,4545,7.6411223
0,4560,7.826027
0,4575,7.977845
0,4590,8.1006155
0,4605,8.197147
0,4620,8.269767
0,4635,8.320584
0,4650,8.351536
0,4665,8.364417
0,4680,8.360888
0,4695,8.342496
0,4710,8.31068
0,4725,8.2667675
0,4740,8.211979
0,4755,8.147444
0,4770,8.074202
0,4785,7.9932137
0,4800,7.9053683
0,4815,7.8114734
0,4830,7.7122808
0,4845,7.608468
0,4860,7.500669
0,4875,7.3894553
0,4890,7.2753587
0,4905,7.1588635
0,4920,7.0404124
0,4935,6.9204116
0,4950,6.7992277
0,4965,6.6771975
0,4980,6.5546246
0,4995,6.431786
0,5010,6.308932
0,5025,6.186289
0,5040,6.0640635
0,5055,5.9569235
0,5070,5.894995
0,5085,5.8752394
0,5100,5.892386
0,5115,5.9425445
0,5130,6.0224566
0,5145,6.1291804
0,5160,6.2600217
0,5175,6.412485
